player_id,year,player_name,position_combine,School,height(1),Height(inches),weight,forty_yard,vertical_leap,bench_press,broad_jump,three_cone,shuttle_run,nfl_team,position_nfl,position_nfl_standard,draft_round,draft_pick
2012BradEwin,2012,Bradie Ewing,FB,Wisconsin,6 ft 0 in,72,239,4.73,36.5,14,120,7.14,4.16,ATL,RB,RB,5,157
2012DariFlem,2012,Darius Fleming,OLB,Notre Dame,6 ft 2 in,74,245,4.71,33.5,27,114,7.03,4.28,SFO,LB,LB,5,165
2012JameFlem,2012,Jamell Fleming,CB,Oklahoma,5 ft 11 in,71,206,4.43,34,23,125,6.71,3.97,ARI,DB,DB,3,80
2012TerrFred,2012,Terrence Frederick,CB,Texas A&M,5 ft 10 in,70,187,4.44,35,16,121,6.59,4.03,PIT,DB,DB,7,246
2012StepGilm,2012,Stephon Gilmore,CB,South Carolina,6 ft 0 in,72,190,4.38,36,15,123,6.61,3.94,BUF,DB,DB,1,10
2012ChriGive,2012,Chris Givens,WR,Wake Forest,5 ft 11 in,71,198,4.35,33.5,19,118,6.97,4.23,STL,WR,WR,4,96
2012CordGlen,2012,Cordy Glenn,OT,Georgia,6 ft 6 in,78,345,5.08,23.5,31,93,8.13,5,BUF,G,G,2,41
2012T.J.Grah,2012,T.J. Graham,WR,North Carolina State,5 ft 11 in,71,188,4.34,33.5,8,120,6.77,4.18,BUF,WR,WR,3,69
2012LadaGree,2012,Ladarius Green,TE,Louisiana-Lafayette,6 ft 6 in,78,238,4.45,34.5,16,124,7.12,4.47,SDG,TE,TE,4,110
2012JameHann,2012,James Hanna,TE,Oklahoma,6 ft 4 in,76,252,4.43,36,24,122,6.76,4.11,DAL,TE,TE,6,186
2012CaseHayw,2012,Casey Hayward,CB,Vanderbilt,5 ft 11 in,71,192,4.47,34,19,119,6.76,3.9,GNB,DB,DB,2,62
2012JuniHemi,2012,Junior Hemingway,WR,Michigan,6 ft 1 in,73,225,4.48,35.5,21,124,6.59,3.98,KAN,WR,WR,7,238
2012Dan Herr,2012,Dan Herron,RB,Ohio State,5 ft 10 in,70,213,4.57,35,22,117,6.97,4.04,CIN,RB,RB,6,191
2012StepHill,2012,Stephen Hill,WR,Georgia Tech,6 ft 4 in,76,215,4.36,39.5,14,133,6.88,4.48,NYJ,WR,WR,2,43
2012LamaHolm,2012,Lamar Holmes,OT,Southern Miss,6 ft 5 in,77,323,5.29,27,22,104,7.74,4.8,ATL,T,T,3,91
2012JayeHowa,2012,Jaye Howard,DT,Florida,6 ft 3 in,75,301,4.78,27.5,24,106,7.32,4.47,SEA,DT,DT,4,114
2012GeorIlok,2012,George Iloka,S,Boise State,6 ft 4 in,76,225,4.6,34.5,20,124,7.03,4.03,CIN,DB,DB,5,167
