player_name,position,school,height,weight,forty_yard,vertical_leap,bench_press,broad_jump,three_cone,shuttle_run,year,player_id,column_a,draft_round,draft_pick,tm,hof,position_standard,first4av,age,to,ap1,pb,st,carav,drav,g,cmp,pass_att,pass_yds,pass_td,pass_int,rush_att,rush_yds,rush_tds,rec,rec_yds,rec_tds,tkl,def_int,sk
Quinton Caver,ILB,Arkansas,6-4,227.0,4.67,37.5,23.0,118.0,7.66,4.25,2001,2001CAVERQUINTONARK,2001Quinton Caver,2.0,55.0,PHI,No,LB,5.0,23.0,2005.0,0.0,0.0,0.0,5.0,1.0,53.0,,,,,,,,,,,,52.0,,
Derrick Chambers,DT,Florida,6-4,299.0,4.98,,32.0,,,,2001,2001CHAMBERSDERRICKFLO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chris Chambers,WR,Wisconsin,6-0,210.0,4.33,45.0,,134.0,,4.0,2001,2001CHAMBERSCHRISWIS,2001Chris Chambers,2.0,52.0,MIA,No,WR,43.0,23.0,2010.0,0.0,1.0,7.0,57.0,41.0,153.0,,,,,,44.0,373.0,0.0,540.0,7648.0,58.0,30.0,,
Jeff Chaney,RB,Florida State,5-11,193.0,4.46,,,,,,2001,2001CHANEYJEFFFLO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jeff Chase,OG,Texas A&M-Kingsville,6-3,303.0,5.25,,27.0,,,,2001,2001CHASEJEFFTEX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Patrick Chukwurah,OLB,Wyoming,6-2,238.0,4.77,40.0,24.0,119.0,7.34,4.21,2001,2001CHUKWURAHPATRICKWYO,2001Patrick Chukwurah,5.0,157.0,MIN,No,LB,5.0,22.0,2007.0,0.0,0.0,0.0,8.0,3.0,78.0,,,,,,,,,,,,60.0,,9
Kenny Clark,WR,Central Florida,6-1,225.0,4.59,35.5,,121.0,,,2001,2001CLARKKENNYCEN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nate Clements,CB,Ohio State,5-11,209.0,4.38,,,,,,2001,2001CLEMENTSNATEOHI,2001Nate Clements,1.0,21.0,BUF,No,DB,38.0,21.0,2012.0,0.0,1.0,10.0,64.0,39.0,180.0,,,,,,,,,,,,656.0,36.0,4.5
Tay Cody,CB,Florida State,5-9,181.0,4.55,,11.0,,,,2001,2001CODYTAYFLO,2001Tay Cody,3.0,67.0,SDG,No,DB,4.0,23.0,2003.0,0.0,0.0,1.0,4.0,4.0,19.0,,,,,,,,,,,,65.0,2.0,
Justin Coleman,QB,Nebraska-Kearney,6-4,238.0,5.22,29.5,,101.0,7.78,4.62,2001,2001COLEMANJUSTINNEB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Derek Combs,RB,Ohio State,6-0,193.0,4.42,35.0,8.0,120.0,6.96,4.07,2001,2001COMBSDEREKOHI,2001Derek Combs,7.0,228.0,OAK,No,DB,1.0,22.0,2003.0,0.0,0.0,0.0,1.0,0.0,12.0,,,,,,,,,,,,8.0,,
Jameel Cook,FB,Illinois,5-10,226.0,4.8,29.5,17.0,108.0,7.55,4.38,2001,2001COOKJAMEELILL,2001Jameel Cook,6.0,174.0,TAM,No,FB,2.0,22.0,2008.0,0.0,0.0,1.0,4.0,2.0,109.0,,,,,,14.0,43.0,0.0,84.0,510.0,3.0,37.0,,
Chris Cooper,DE,Nebraska-Omaha,6-5,272.0,4.95,35.5,24.0,114.0,7.12,4.21,2001,2001COOPERCHRISNEB,2001Chris Cooper,6.0,184.0,OAK,No,DT,11.0,23.0,2007.0,0.0,0.0,0.0,12.0,10.0,78.0,,,,,,,,,,,,99.0,1.0,8.5
Jarrod Cooper,S,Kansas State,6-0,222.0,4.45,41.5,,130.0,6.87,3.9,2001,2001COOPERJARRODKAN,2001Jarrod Cooper,5.0,143.0,CAR,No,DB,7.0,23.0,2007.0,0.0,0.0,1.0,8.0,2.0,87.0,,,,,,,,,,,,111.0,,1.5
Dave Costa,OG,Wisconsin,6-6,305.0,5.34,,17.0,,,,2001,2001COSTADAVEWIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rodney Crayton,CB,Auburn,5-8,178.0,4.6,35.5,13.0,118.0,7.25,4.4,2001,2001CRAYTONRODNEYAUB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rick Crowell,OLB,Colorado State,6-3,242.0,5.03,31.5,19.0,109.0,7.54,4.35,2001,2001CROWELLRICKCOL,2001Rick Crowell,6.0,188.0,MIA,No,LB,0.0,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,
