player_id,year,player_name,position_combine,School,height,weight,forty_yard,vertical_leap,bench_press,broad_jump,three_cone,shuttle_run,nfl_team,position_nfl_standard,draft_round
2009Lee Robi,2009,Lee Robinson,OLB,Alcorn State,74,249.0,4.71,32.5,24.0,113.0,7.57,4.67,Undrafted,Undrafted,8.0
2009BriaRobi,2009,Brian Robiskie,WR,Ohio State,75,209.0,4.46,37.5,,,6.72,4.19,CLE,WR,2.0
2009LouiSako,2009,Louie Sakoda,K,Utah,68,176.0,4.82,,,,,,Undrafted,Undrafted,8.0
2009MarkSanc,2009,Mark Sanchez,QB,USC,74,227.0,4.93,32.5,,116.0,7.06,4.21,NYJ,QB,1.0
2009JamaSanf,2009,Jamarca Sanford,S,Mississippi,70,214.0,4.43,33.5,29.0,116.0,7.02,4.2,MIN,DB,7.0
2009LydeSarg,2009,Lydell Sargeant,CB,Penn State,69,190.0,4.48,35.0,15.0,117.0,7.0,4.21,Undrafted,Undrafted,8.0
2009BernScot,2009,Bernard Scott,RB,Abilene Christian,70,200.0,4.44,36.0,21.0,125.0,6.82,4.08,CIN,RB,6.0
2009DareScot,2009,Darell Scott,DT,Clemson,75,312.0,4.92,30.5,29.0,107.0,8.28,4.84,STL,DT,4.0
2009MattShau,2009,Matt Shaughnessy,DE,Wisconsin,77,266.0,4.86,30.5,24.0,112.0,7.68,4.88,OAK,DE,3.0
2009KoryShee,2009,Kory Sheets,RB,Purdue,71,208.0,4.39,37.0,15.0,121.0,7.18,4.39,Undrafted,Undrafted,8.0
2009A.Q.Ship,2009,A.Q. Shipley,C,Penn State,73,304.0,5.19,31.0,33.0,100.0,7.46,4.4,PIT,C,7.0
2009LawrSidb,2009,Lawrence Sidbury,DE,Richmond,74,266.0,4.53,35.0,28.0,120.0,7.46,4.43,ATL,DE,4.0
2009ClinSint,2009,Clint Sintim,OLB,Virginia,75,256.0,4.75,34.5,,119.0,7.37,4.4,NYG,LB,2.0
2009MattSlau,2009,Matt Slauson,OG,Nebraska,77,316.0,5.26,34.0,,110.0,7.86,4.86,NYJ,G,6.0
2009AlphSmit,2009,Alphonso Smith,CB,Wake Forest,69,193.0,4.47,34.0,13.0,125.0,7.09,4.38,DEN,DB,2.0
2009AndrSmit,2009,Andre Smith,OT,Alabama,76,332.0,5.28,,,,,,CIN,T,1.0
2009DeAnSmit,2009,DeAngelo Smith,CB,Cincinnati,71,194.0,4.5,31.5,17.0,109.0,7.27,4.35,DAL,DB,5.0
2009JasoSmit,2009,Jason Smith,OT,Baylor,77,309.0,5.09,24.0,33.0,96.0,7.53,4.69,STL,T,1.0
2009SeanSmit,2009,Sean Smith,CB,Utah,75,214.0,4.47,34.0,10.0,119.0,6.92,4.15,MIA,DB,2.0
2009BranSout,2009,Brannan Southerland,FB,Georgia,72,242.0,4.69,38.0,28.0,120.0,7.4,4.4,Undrafted,Undrafted,8.0
2009KorySper,2009,Kory Sperry,TE,Colorado State,77,238.0,4.69,33.5,20.0,122.0,7.0,4.24,Undrafted,Undrafted,8.0
