Player,Pos,School,AP Ranking,Ht,Wt,40yd,Vertical,Bench,Broad Jump,3Cone,Shuttle,Year,player_id,year,rnd,pick,tm,hof,pos,position_standard,first4av,age,to,ap1,pb,st,carav,drav,g,cmp,pass_att,pass_yds,pass_td,pass_int,rush_att,rush_yds,rush_tds,rec,rec_yds,rec_tds,tkl,def_int,sk,college_univ
JaJuan Dawson,WR,Tulane,,1-Jun,199,4.55,34,,117,6.96,4.16,2000,DawsJa00,2000,3,79,CLE,No,WR,WR,5,22,2002,0,0,0,5,3,30,,,,,,,,,52,664,2,3,,,Tulane
Ron Dayne,RB,Wisconsin,,11-May,259,4.65,,,,,,2000,DaynRo00,2000,1,11,NYG,No,RB,RB,12,22,2007,0,0,1,22,10,96,,,,,,983,3722,28,57,340,0,7,,,Wisconsin
Na'il Diggs,OLB,Ohio State,,4-Jun,231,4.66,,,,,,2000,DiggNa20,2000,4,98,GNB,No,LB,LB,39,22,2011,0,0,9,56,36,170,,,,,,,,,,,,539,5,11.5,Ohio St.
Reuben Droughns,RB,Oregon,,11-May,215,4.66,30,13,115,7.34,4.41,2000,DrouRe00,2000,3,81,DET,No,RB,RB,23,22,2008,0,0,3,27,1,114,,,,,,929,3602,19,123,989,6,56,,,Oregon
Ron Dugans,WR,Florida State,,1-Jun,206,4.58,,,117,,,2000,DugaRo00,2000,3,66,CIN,No,WR,WR,6,23,2002,0,0,0,6,6,46,,,,,,,,,89,797,3,29,,,Florida St.
Deon Dyer,FB,North Carolina,,11-May,260,4.99,28,,104,7.88,4.81,2000,DyerDe00,2000,4,117,MIA,No,FB,FB,0,22,2002,0,0,0,0,0,45,,,,,,,,,2,14,0,2,,,North Carolina
Mario Edwards,CB,Florida State,,Jun-00,191,4.46,,,120,,,2000,EdwaMa01,2015,2,35,OAK,No,DT,DT,5,21,2015,0,0,1,5,5,14,,,,,,,,,,,,33,,2,Florida St.
Mario Edwards,CB,Florida State,,Jun-00,191,4.46,,,120,,,2000,EdwaMa20,2000,6,180,DAL,No,DB,DB,24,24,2004,0,0,3,22,21,73,,,,,,,,,,,,157,4,,Florida St.
Shaun Ellis,DE,Tennessee,,4-Jun,280,4.85,,,,,,2000,ElliSh00,2000,1,12,NYJ,No,DE,DE,38,23,2011,0,2,11,75,73,184,,,,,,,,,,,,388,1,73.5,Tennessee
John Engelberger,DE,Virginia Tech,,4-Jun,260,4.73,34,24,115,6.95,4.28,2000,EngeJo20,2000,2,35,SFO,No,DE,DE,25,23,2008,0,0,5,32,23,139,,,,,,,,,,,,201,,20.5,Virginia Tech
Danny Farmer,WR,UCLA,,3-Jun,217,4.58,,,,,,2000,FarmDa00,2000,4,103,PIT,No,WR,WR,5,23,2002,0,0,0,5,,33,,,,,,,,,43,611,1,2,,,UCLA
Erik Flowers,DE,Arizona State,,4-Jun,271,4.75,33,24,114,7.21,4.15,2000,FlowEr20,2000,1,26,BUF,No,DE,DE,6,22,2004,0,0,0,6,4,58,,,,,,,,,,,,38,1,5,Arizona St.
John Frank,DE,Utah,,4-Jun,280,4.78,37,32,117,7.07,4.27,2000,,2000,6,178,PHI,No,DE,DE,0,,,0,0,0,,,,,,,,,,,,,,,,,,Utah
