player_id,year,player_name,position_combine,School,height,weight,forty_yard,vertical_leap,bench_press,broad_jump,three_cone,shuttle_run,nfl_team,position_nfl,position_nfl_standard,draft_round,draft_pick
2013AlecOgle,2013,Alec Ogletree,OLB,Georgia,6 ft 2 in,242.0,4.7,33.5,20.0,122.0,7.16,4.39,STL,LB,LB,1.0,30.0
2013VinsPain,2013,Vinston Painter,OT,Virginia Tech,6 ft 4 in,306.0,4.95,30.5,32.0,97.0,7.71,4.56,DEN,G,G,6.0,173.0
2013QuinPatt,2013,Quinton Patton,WR,Louisiana Tech,6 ft 0 in,204.0,4.53,33.0,8.0,118.0,6.91,4.01,SFO,WR,WR,4.0,128.0
2013Ty PPowe,2013,Ty Powell,OLB,Harding,6 ft 2 in,249.0,4.64,37.0,28.0,122.0,6.98,4.4,SEA,DE,DE,7.0,231.0
2013JordPoye,2013,Jordan Poyer,CB,Oregon State,6 ft 0 in,191.0,4.54,30.5,8.0,118.0,6.87,4.18,PHI,DB,DB,7.0,218.0
2013DaviQues,2013,David Quessenberry,OT,San Jose State,6 ft 5 in,302.0,5.08,29.5,25.0,112.0,7.49,4.45,HOU,OL,T,6.0,176.0
2013EricReid,2013,Eric Reid,S,LSU,6 ft 1 in,213.0,4.53,40.5,17.0,134.0,6.99,4.22,SFO,DB,DB,1.0,18.0
2013MychRive,2013,Mychal Rivera,TE,Tennessee,6 ft 3 in,242.0,4.81,31.0,17.0,112.0,7.17,4.43,OAK,TE,TE,6.0,184.0
2013LogaRyan,2013,Logan Ryan,CB,Rutgers,5 ft 11 in,191.0,4.56,32.5,14.0,116.0,6.69,4.06,NWE,DB,DB,3.0,83.0
2013Ace Sand,2013,Ace Sanders,WR,South Carolina,5 ft 7 in,173.0,4.58,32.0,7.0,117.0,6.81,4.37,JAX,WR,WR,4.0,101.0
2013BriaSchw,2013,Brian Schwenke,C,California,6 ft 3 in,314.0,4.99,26.5,31.0,108.0,7.31,4.74,TEN,C,C,4.0,107.0
2013DionSims,2013,Dion Sims,TE,Michigan State,6 ft 5 in,262.0,4.75,35.0,22.0,112.0,7.36,4.52,MIA,TE,TE,4.0,106.0
2013DariSlay,2013,Darius Slay,CB,Mississippi State,6 ft 0 in,192.0,4.36,35.5,14.0,124.0,6.9,4.21,DET,DB,DB,2.0,36.0
2013JareSmit,2013,Jared Smith,DT,New Hampshire,6 ft 3 in,302.0,5.08,32.5,28.0,115.0,7.2,4.39,SEA,DT,DT,7.0,241.0
2013AkeeSpen,2013,Akeem Spence,DT,Illinois,6 ft 1 in,307.0,5.15,30.0,37.0,107.0,7.82,4.72,TAM,DT,DT,4.0,100.0
2013Zac Stac,2013,Zac Stacy,RB,Vanderbilt,5 ft 8 in,216.0,4.55,33.0,27.0,122.0,6.7,4.17,STL,RB,RB,5.0,160.0
2013D.J.Swea,2013,D.J. Swearinger,S,South Carolina,5 ft 10 in,208.0,4.67,37.0,17.0,124.0,6.7,4.11,HOU,DB,DB,2.0,57.0
2013RyanSwop,2013,Ryan Swope,WR,Texas A&M,6 ft 0 in,205.0,4.34,37.0,16.0,125.0,6.76,4.25,ARI,WR,WR,6.0,174.0
2013DeviTayl,2013,Devin Taylor,DE,South Carolina,6 ft 7 in,266.0,4.72,35.0,14.0,128.0,6.89,4.3,DET,DE,DE,4.0,132.0
2013JamaTayl,2013,Jamar Taylor,CB,Boise State,5 ft 11 in,192.0,4.39,35.0,22.0,127.0,6.82,4.06,MIA,DB,DB,2.0,54.0
2013StepTayl,2013,Stepfan Taylor,RB,Stanford,5 ft 9 in,214.0,4.76,30.0,17.0,110.0,7.13,4.5,ARI,RB,RB,5.0,140.0
2013LeviToil,2013,Levine Toilolo,TE,Stanford,6 ft 8 in,260.0,4.86,31.0,17.0,113.0,7.09,4.57,ATL,TE,TE,4.0,133.0
2013J.C.Tret,2013,J.C. Tretter,OG,Cornell,6 ft 4 in,307.0,5.09,29.5,29.0,109.0,7.48,4.69,GNB,T,T,4.0,122.0
2013KennVacc,2013,Kenny Vaccaro,S,Texas,6 ft 0 in,214.0,4.63,38.0,15.0,121.0,6.78,4.06,NOR,DB,DB,1.0,15.0
2013RickWagn,2013,Ricky Wagner,OT,Wisconsin,6 ft 6 in,308.0,5.17,31.5,20.0,101.0,7.94,4.91,BAL,T,T,5.0,168.0
2013LarrWarf,2013,Larry Warford,OG,Kentucky,6 ft 3 in,332.0,5.58,22.5,28.0,96.0,7.78,5.1,DET,G,G,3.0,65.0
2013EarlWatf,2013,Earl Watford,OG,James Madison,6 ft 3 in,300.0,5.06,30.0,24.0,107.0,7.77,5.0,ARI,G,G,4.0,116.0
2013B.W.Webb,2013,B.W. Webb,CB,William & Mary,5 ft 10 in,184.0,4.51,40.5,14.0,132.0,6.82,3.84,DAL,DB,DB,4.0,114.0
2013BjoeWern,2013,Bjoern Werner,DE,Florida State,6 ft 3 in,266.0,4.83,31.0,25.0,111.0,7.3,4.4,IND,DE,DE,1.0,24.0
2013MarkWhea,2013,Markus Wheaton,WR,Oregon State,5 ft 11 in,189.0,4.45,37.0,20.0,120.0,6.8,4.02,PIT,WR,WR,3.0,79.0
2013J.J.Wilc,2013,J.J. Wilcox,S,Georgia Southern,6 ft 0 in,213.0,4.57,35.0,17.0,124.0,7.02,4.09,DAL,DB,DB,3.0,80.0
2013BranWill,2013,Brandon Williams,DT,Missouri Southern,6 ft 1 in,335.0,5.37,29.5,38.0,102.0,8.09,4.91,BAL,DT,DT,3.0,94.0
2013KerwWill,2013,Kerwynn Williams,RB,Utah State,5 ft 8 in,195.0,4.48,35.0,17.0,118.0,7.15,4.15,IND,RB,RB,7.0,230.0
2013NichWill,2013,Nicholas Williams,DT,Samford,6 ft 4 in,309.0,4.94,33.0,28.0,111.0,7.55,4.65,PIT,DT,DT,7.0,223.0
2013ShawWill,2013,Shawn Williams,S,Georgia,6 ft 0 in,213.0,4.46,36.0,25.0,120.0,7.01,4.25,CIN,DB,DB,3.0,84.0
2013StevWill,2013,Steve Williams,CB,California,5 ft 9 in,181.0,4.42,40.5,12.0,128.0,6.89,4.1,SDG,DB,DB,5.0,145.0
2013SylvWill,2013,Sylvester Williams,DT,North Carolina,6 ft 3 in,313.0,5.03,26.5,27.0,102.0,7.93,4.8,DEN,DT,DT,1.0,28.0
2013TerrWill,2013,Terrance Williams,WR,Baylor,6 ft 2 in,208.0,4.52,32.5,11.0,119.0,7.01,4.32,DAL,WR,WR,3.0,74.0
2013MarqWils,2013,Marquess Wilson,WR,Washington State,6 ft 3 in,194.0,4.51,34.5,7.0,122.0,6.65,4.33,CHI,WR,WR,7.0,236.0
2013RobeWood,2013,Robert Woods,WR,USC,6 ft 0 in,201.0,4.51,33.5,14.0,117.0,7.15,4.47,BUF,WR,WR,2.0,41.0
2013KhalWoot,2013,Khalid Wooten,CB,Nevada,5 ft 11 in,210.0,4.53,33.5,17.0,117.0,6.95,4.18,TEN,DB,DB,6.0,202.0
2013BlidWreh,2013,Blidi Wreh-Wilson,CB,Connecticut,6 ft 1 in,195.0,4.53,36.0,14.0,128.0,6.97,4.12,TEN,DB,DB,3.0,70.0
2014JareAbbr,2014,Jared Abbrederis,WR,Wisconsin,6 ft 1 in,195.0,4.5,30.5,4.0,117.0,6.8,4.08,GNB,WR,WR,5.0,176.0
2014DavaAdam,2014,Davante Adams,WR,Fresno State,6 ft 1 in,212.0,4.56,39.5,14.0,123.0,6.82,4.3,GNB,WR,WR,2.0,53.0
2014JaceAmar,2014,Jace Amaro,TE,Texas Tech,6 ft 5 in,265.0,4.74,33.0,28.0,118.0,7.42,4.3,NYJ,TE,TE,2.0,49.0
2014Dri Arch,2014,Dri Archer,WR,Kent State,5 ft 8 in,173.0,4.26,38.0,20.0,122.0,6.86,4.06,PIT,WR,WR,3.0,97.0
2014AnthBarr,2014,Anthony Barr,OLB,UCLA,6 ft 5 in,255.0,4.66,34.5,15.0,119.0,6.82,4.19,MIN,LB,LB,1.0,9.0
2014LamiBarr,2014,Lamin Barrow,ILB,LSU,6 ft 1 in,237.0,4.64,35.0,22.0,123.0,7.24,4.35,DEN,LB,LB,5.0,156.0
2014KelvBenj,2014,Kelvin Benjamin,WR,Florida State,6 ft 5 in,240.0,4.61,32.5,13.0,119.0,7.33,4.39,CAR,WR,WR,1.0,28.0
2014BeneBenw,2014,Bene' Benwikere,CB,San Jose State,5 ft 11 in,195.0,4.59,40.5,10.0,122.0,6.94,4.38,CAR,DB,DB,5.0,148.0
2014Nat Berh,2014,Nat Berhe,S,San Diego State,5 ft 10 in,193.0,4.71,35.5,15.0,117.0,7.08,4.22,NYG,DB,DB,5.0,152.0
2014JoelBito,2014,Joel Bitonio,OG,Nevada,6 ft 4 in,302.0,4.92,32.0,22.0,114.0,7.37,4.44,CLE,G,G,2.0,35.0
2014AlfrBlue,2014,Alfred Blue,RB,LSU,6 ft 2 in,223.0,4.63,32.0,13.0,121.0,7.15,4.5,HOU,RB,RB,6.0,181.0
2014RussBodi,2014,Russell Bodine,OG,North Carolina,6 ft 3 in,310.0,5.18,29.0,42.0,109.0,8.26,4.66,CIN,C,C,4.0,111.0
2014ChriBorl,2014,Chris Borland,ILB,Wisconsin,5 ft 11 in,248.0,4.83,31.0,27.0,114.0,7.18,4.27,SFO,LB,LB,3.0,77.0
2014Tre Bost,2014,Tre Boston,S,North Carolina,6 ft 0 in,204.0,4.58,35.0,18.0,116.0,7.04,4.31,CAR,DB,DB,4.0,128.0
2014CarlBrad,2014,Carl Bradford,OLB,Arizona State,6 ft 1 in,250.0,4.76,37.5,23.0,122.0,7.25,4.3,GNB,LB,LB,4.0,121.0
2014BashBree,2014,Bashaud Breeland,CB,Clemson,5 ft 11 in,197.0,4.62,34.5,11.0,123.0,7.04,4.33,WAS,DB,DB,4.0,102.0
2014JustBrit,2014,Justin Britt,OT,Missouri,6 ft 6 in,325.0,5.19,27.5,23.0,100.0,8.14,4.69,SEA,T,T,2.0,64.0
2014Jay Brom,2014,Jay Bromley,DT,Syracuse,6 ft 3 in,306.0,5.06,33.5,26.0,106.0,7.92,4.78,NYG,DT,DT,3.0,74.0
2014PresBrow,2014,Preston Brown,ILB,Louisville,6 ft 1 in,251.0,4.86,33.0,23.0,116.0,6.98,4.26,BUF,LB,LB,3.0,73.0
2014MartBrya,2014,Martavis Bryant,WR,Clemson,6 ft 4 in,211.0,4.42,39.0,16.0,124.0,7.18,4.15,PIT,WR,WR,4.0,118.0
2014DeonBuca,2014,Deone Bucannon,S,Washington State,6 ft 1 in,211.0,4.49,36.5,19.0,125.0,6.96,4.26,ARI,DB,DB,1.0,27.0
2014MichCamp,2014,Michael Campanaro,WR,Wake Forest,5 ft 9 in,192.0,4.46,39.0,20.0,122.0,6.77,4.01,BAL,WR,WR,7.0,218.0
2014Ka'DCare,2014,Ka'Deem Carey,RB,Arizona,5 ft 9 in,207.0,4.69,32.5,19.0,115.0,7.08,4.38,CHI,RB,RB,4.0,117.0
2014RyanCarr,2014,Ryan Carrethers,DT,Arkansas State,6 ft 1 in,337.0,5.47,26.0,32.0,88.0,7.89,4.6,SDG,DT,DT,5.0,165.0
2014WillClar,2014,Will Clarke,DE,West Virginia,6 ft 6 in,271.0,4.77,32.0,22.0,112.0,7.26,4.57,CIN,DE,DE,3.0,88.0
2014Ha HHa,2014,Ha Ha Clinton-Dix,S,Alabama,6 ft 1 in,208.0,4.58,33.0,11.0,119.0,7.16,4.16,GNB,DB,DB,1.0,21.0
2014JadeClow,2014,Jadeveon Clowney,DE,South Carolina,6 ft 5 in,266.0,4.53,37.5,21.0,124.0,7.27,4.43,HOU,DE,DE,1.0,1.0
2014RossCock,2014,Ross Cockrell,CB,Duke,6 ft 0 in,191.0,4.56,36.5,10.0,122.0,7.28,4.32,BUF,DB,DB,4.0,109.0
2014BranCook,2014,Brandin Cooks,WR,Oregon State,5 ft 10 in,189.0,4.33,36.0,16.0,120.0,6.76,3.81,NOR,WR,WR,1.0,20.0
2014ScotCric,2014,Scott Crichton,DE,Oregon State,6 ft 3 in,273.0,4.84,31.5,24.0,108.0,7.19,4.29,MIN,DE,DE,3.0,72.0
2014PierDesi,2014,Pierre Desir,CB,Lindenwood,6 ft 1 in,198.0,4.59,35.0,11.0,133.0,6.86,4.3,CLE,DB,DB,4.0,127.0
2014AhmaDixo,2014,Ahmad Dixon,S,Baylor,6 ft 0 in,212.0,4.64,32.0,14.0,111.0,7.55,4.5,DAL,DB,DB,7.0,248.0
2014BranDixo,2014,Brandon Dixon,CB,Northwest Missouri State,5 ft 11 in,203.0,4.41,32.5,17.0,117.0,7.15,4.27,NYJ,DB,DB,6.0,195.0
2014AaroDona,2014,Aaron Donald,DT,Pittsburgh,6 ft 1 in,285.0,4.68,32.0,35.0,116.0,7.11,4.39,STL,DT,DT,1.0,13.0
2014JonaDowl,2014,Jonathan Dowling,S,Western Kentucky,6 ft 3 in,190.0,4.52,33.5,8.0,118.0,7.04,4.24,OAK,DB,DB,7.0,247.0
2014DakoDozi,2014,Dakota Dozier,OG,Furman,6 ft 4 in,313.0,5.42,24.0,23.0,101.0,8.14,4.89,NYJ,OL,G,4.0,137.0
2014KonyEaly,2014,Kony Ealy,DE,Missouri,6 ft 4 in,273.0,4.92,31.0,22.0,114.0,6.83,4.45,CAR,DE,DE,2.0,60.0
2014KadeEdwa,2014,Kadeem Edwards,OG,Tennessee State,6 ft 4 in,313.0,5.25,27.0,26.0,99.0,7.95,4.82,TAM,OL,G,5.0,143.0
2014BrucElli,2014,Bruce Ellington,WR,South Carolina,5 ft 9 in,197.0,4.45,39.5,15.0,120.0,6.69,3.95,SFO,WR,WR,4.0,106.0
2014JustElli,2014,Justin Ellis,DT,Louisiana Tech,6 ft 1 in,334.0,5.27,28.0,25.0,92.0,7.81,4.75,OAK,DT,DT,4.0,107.0
2014ShaqEvan,2014,Shaquelle Evans,WR,UCLA,6 ft 1 in,213.0,4.51,34.5,13.0,122.0,7.07,4.21,NYJ,WR,WR,4.0,115.0
2014AntoExum,2014,Antone Exum,CB,Virginia Tech,6 ft 0 in,213.0,4.59,35.0,17.0,117.0,7.05,4.13,MIN,DB,DB,6.0,182.0
2014C.J.Fied,2014,C.J. Fiedorowicz,TE,Iowa,6 ft 5 in,265.0,4.76,31.5,25.0,116.0,7.1,4.26,HOU,TE,TE,3.0,65.0
2014CameFlem,2014,Cameron Fleming,OT,Stanford,6 ft 5 in,323.0,5.28,23.5,26.0,97.0,8.24,5.0,NWE,T,T,4.0,140.0
2014KyleFull,2014,Kyle Fuller,CB,Virginia Tech,6 ft 0 in,190.0,4.49,38.5,12.0,128.0,6.9,4.19,CHI,DB,DB,1.0,14.0
2014ZachFult,2014,Zach Fulton,OG,Tennessee,6 ft 5 in,316.0,5.16,24.5,25.0,98.0,7.87,5.16,KAN,G,G,6.0,193.0
2014PhilGain,2014,Phillip Gaines,CB,Rice,6 ft 0 in,193.0,4.38,36.5,11.0,122.0,6.62,4.04,KAN,DB,DB,3.0,87.0
2014DemeGood,2014,Demetri Goodson,CB,Baylor,5 ft 11 in,194.0,4.52,37.0,11.0,123.0,6.8,4.34,GNB,DB,DB,6.0,197.0
2014RyanGran,2014,Ryan Grant,WR,Tulane,6 ft 0 in,199.0,4.64,35.5,8.0,119.0,6.68,4.11,WAS,WR,WR,5.0,142.0
2014Ra'SHage,2014,Ra'Shede Hageman,DT,Minnesota,6 ft 6 in,310.0,4.92,35.5,32.0,114.0,7.87,4.5,ATL,DT,DT,2.0,37.0
2014AndrHal,2014,Andre Hal,CB,Vanderbilt,5 ft 10 in,188.0,4.5,35.5,15.0,119.0,7.14,4.27,HOU,DB,DB,7.0,216.0
