player_name,position,school,height,weight,forty_yard,vertical_leap,bench_press,broad_jump,three_cone,shuttle_run,year,player_id,draft_round,draft_pick,ht,bench_press_score,broad_jump_score,forty_yard_score,shuttle_run_score,three_cone_score,vertical_leap_score,combine_score,draft_pick_flag
Giovanni Carmazzi,QB,Hofstra,6 ft 3 in,224.0,4.74,36.5,22.0,119.0,6.94,4.23,2000,2000CARMAZZIGIOVANNIHOF,3.0,65.0,75,0.0,4.0,3.0,3.0,4.0,4.0,18.0,1
Leonardo Carson,DE,Auburn,6 ft 1 in,283.0,5.06,28.0,22.0,106.0,7.82,4.75,2000,2000CARSONLEONARDOAUB,4.0,113.0,73,2.0,1.0,1.0,1.0,1.0,1.0,7.0,1
Tyrone Carter,S,Minnesota,5 ft 8 in,190.0,4.5,41.0,16.0,121.0,6.75,4.19,2000,2000CARTERTYRONEMIN,4.0,118.0,68,2.0,3.0,4.0,3.0,4.0,4.0,20.0,1
Kwame Cavil,WR,Texas,6 ft 2 in,208.0,4.54,39.5,14.0,118.0,7.03,4.23,2000,2000CAVILKWAMETEX,8.0,999.0,74,0.0,2.0,2.0,0.0,0.0,4.0,8.0,0
Chris Chaloupka,QB,SMU,6 ft 2 in,216.0,4.96,30.5,18.0,109.0,7.175,4.36,2000,2000CHALOUPKACHRISSMU,8.0,999.0,74,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0
Doug Chapman,RB,Marshall,5 ft 10 in,215.0,4.56,38.5,16.0,128.0,6.84,4.2,2000,2000CHAPMANDOUGMAR,3.0,88.0,70,1.0,4.0,3.0,3.0,4.0,4.0,19.0,1
Ike Charlton,CB,Virginia Tech,5 ft 11 in,205.0,4.47,36.0,16.0,126.0,6.9,4.14,2000,2000CHARLTONIKEVIR,2.0,52.0,71,3.0,4.0,3.0,0.0,0.0,0.0,10.0,1
Chrys Chukwuma,RB,Arkansas,6 ft 1 in,232.0,4.56,34.0,19.0,115.0,7.09,4.27,2000,2000CHUKWUMACHRYSARK,8.0,999.0,73,0.0,2.0,3.0,0.0,0.0,0.0,5.0,0
Joey Chustz,OT,Louisiana Tech,6 ft 7 in,304.0,5.08,31.0,28.0,103.0,7.65,4.65,2000,2000CHUSTZJOEYLOU,4.0,123.0,79,4.0,3.0,4.0,3.0,3.0,4.0,21.0,1
Pedro Cirino,S,Boston Col.,5 ft 11 in,197.0,4.59,35.0,16.0,119.0,7.06,4.21,2000,2000CIRINOPEDROBOS,8.0,999.0,71,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0
John Saint Clair,C,Virginia,6 ft 5 in,302.0,5.2,27.5,25.0,99.5,7.87,4.67,2000,2000SAINTJOHNVIR,8.0,999.0,77,2.0,0.0,3.0,0.0,0.0,0.0,5.0,0
Kendrick Clancy,DT,Mississippi,6 ft 1 in,283.0,5.25,27.5,25.0,108.0,7.98,4.65,2000,2000CLANCYKENDRICKMIS,3.0,72.0,73,2.0,3.0,1.0,2.0,1.0,2.0,11.0,1
