player_id,year,player_name,position_combine,School,height,weight,forty_yard,vertical_leap,bench_press,broad_jump,three_cone,shuttle_run,nfl_team,position_nfl,position_nfl_standard,IF_DRAFTED,draft_round,draft_pick
2000DwayGood,2000,Dwayne Goodrich,CB,Tennessee,5 ft 11 in,195,4.45,,,,,,DAL,DB,DB,1,2,49
2000LamaGran,2000,Lamar Grant,CB,Duke,5 ft 11 in,188,4.62,32,16,117,7.3,4.3,,,,0,,
2000DeonGran,2000,Deon Grant,S,Tennessee,6 ft 2 in,209,4.5,,15,,,,CAR,DB,DB,1,2,57
2000ErneGran,2000,Ernest Grant,DT,Ark-Pine Bluff,6 ft 5 in,316,5.31,29.5,24,98,8,5.03,MIA,DT,DT,1,6,167
2000JonaGray,2000,Jonathan Gray,OT,Texas Tech,6 ft 4 in,338,5.85,23,20,94,,,,,,0,,
2000BriaGray,2000,Brian Gray,CB,BYU,6 ft 1 in,214,4.94,33.5,19,116,7.38,4.24,,,,0,,
2000BarrGree,2000,Barrett Green,OLB,West Virginia,6 ft 0 in,233,4.56,36,22,120,,,DET,LB,LB,1,2,50
2000MikeGree,2000,Mike Green,S,NW State (LA),6 ft 0 in,189,4.53,38.5,,118,,4.2,TEN,RB,RB,1,7,213
2000MikeGree,2000,Mike Green,FB,Houston,6 ft 0 in,253,4.78,28.5,25,108,7.08,4.34,TEN,RB,RB,1,7,213
2000DamiGreg,2000,Damian Gregory,DT,Illinois State,6 ft 2 in,307,4.87,30,27,105,7.37,4.6,,,,0,,
2000CornGrif,2000,Cornelius Griffin,DE,Alabama,6 ft 3 in,297,4.9,31,30,111,7.63,4.62,NYG,DT,DT,1,2,42
2000ClarHagg,2000,Clark Haggans,OLB,Colorado State,6 ft 3 in,253,4.97,31.5,20,109,7.12,4.21,PIT,LB,LB,1,5,137
2000RickHall,2000,Ricky Hall,WR,Virginia Tech,6 ft 2 in,206,4.52,,,,,,,,,0,,
2000DantHall,2000,Dante' Hall,RB,Texas A&M,5 ft 8 in,191,4.44,38,18,123,6.62,3.82,KAN,WR,WR,1,5,153
2000JameHall,2000,James Hall,DE,Michigan,6 ft 2 in,271,5.03,32,,111,7.86,4.51,,,,0,,
2000TroyHamb,2000,Troy Hambrick,RB,South Carolina,6 ft 0 in,237,4.66,34.5,21,118,7.48,4.44,,,,0,,
2000JoeyHami,2000,Joey Hamilton,WR,Jacksonville State,6 ft 1 in,201,4.54,36,,116,7.57,4.41,,,,0,,
2000Joe Hami,2000,Joe Hamilton,QB,Georgia Tech,5 ft 10 in,192,4.81,,,106,,,TAM,QB,QB,1,7,234
2000ThomHamn,2000,Thomas Hamner,RB,Minnesota,6 ft 0 in,197,4.5,32,17,125,6.97,4.07,PHI,RB,RB,1,6,171
2000D'AnHard,2000,D'Andre Hardeman,FB,Texas A&M,5 ft 10 in,238,4.81,30,,109,7.27,4.36,,,,0,,
2000AntwHarr,2000,Antwan Harris,CB,Virginia,5 ft 9 in,186,4.34,39,16,121,6.75,4.01,NWE,DB,DB,1,6,187
2000JeffHarr,2000,Jeff Harris,CB,Georgia,6 ft 0 in,190,4.53,34.5,,114,6.73,4.25,MIA,DB,DB,1,7,232
2000LloyHarr,2000,Lloyd Harrison,CB,North Carolina State,5 ft 10 in,190,4.5,37.5,16,119,7.12,4.25,WAS,DB,DB,1,3,64
2000WindHaye,2000,Windrell Hayes,WR,USC,5 ft 11 in,204,4.5,,,,7.33,4.18,NYJ,WR,WR,1,5,143
2000SemiHeim,2000,Semisi Heimuli,OG,Texas A&M,6 ft 1 in,312,5.4,29,20,94,7.94,4.63,,,,0,,
2000StevHern,2000,Steve Herndon,OG,Georgia,6 ft 4 in,297,5.23,,,,,,,,,0,,
2000LeroHodg,2000,Leroy Hodge,WR,Texas A&M,6 ft 1 in,215,4.54,34.5,,116,7.14,4.21,,,,0,,
2000DeonHori,2000,Deone Horinek,P,Colorado State,6 ft 2 in,234,,,,,,,,,,0,,
2000ChriHova,2000,Chris Hovan,DT,Boston Col.,6 ft 2 in,305,4.99,30,35,101,6.85,4.16,MIN,DT,DT,1,1,25
2000DarrHowa,2000,Darren Howard,DE,Kansas State,6 ft 4 in,281,5.09,29,,108,7,4.32,NOR,DE,DE,1,2,33
2000ReggHowa,2000,Reggie Howard,CB,Memphis,5 ft 11 in,190,4.55,,,,,,,,,0,,
2000EthaHowe,2000,Ethan Howell,CB,Oklahoma State,5 ft 11 in,186,4.56,,16,,6.98,4.13,WAS,WR,WR,1,7,250
2000AaroHump,2000,Aaron Humphrey,DE,Texas,6 ft 3 in,254,5.1,34,21,119,,,,,,0,,
2000ToddHusa,2000,Todd Husak,QB,Stanford,6 ft 3 in,216,5.2,27.5,,99,7.17,4.41,WAS,QB,QB,1,6,202
2000TrevInsl,2000,Trevor Insley,WR,Nevada,6 ft 0 in,192,4.7,,,,,,,,,0,,
2000JuniIoan,2000,Junior Ioane,DT,Arizona State,6 ft 3 in,324,5.12,,,,,,OAK,DT,DT,1,4,107
2000JabaIssa,2000,Jabari Issa,DT,Washington,6 ft 5 in,296,5.05,31.5,19,105,7.69,4.72,ARI,DE,DE,1,6,176
2000KeitJack,2000,Keith Jackson,DT,Cheyney,6 ft 4 in,319,5.2,,28,,,,,,,0,,
2000Al JJack,2000,Al Jackson,OG,LSU,6 ft 3 in,304,5.2,,19,,,,,,,0,,
2000DarrJack,2000,Darrell Jackson,WR,Florida,6 ft 0 in,197,4.56,,,,,,SEA,WR,WR,1,3,80
2000JariJack,2000,Jarious Jackson,QB,Notre Dame,6 ft 0 in,226,4.68,,,109,,,DEN,QB,QB,1,7,214
2000MarlJack,2000,Marlion Jackson,RB,Saginaw Valley State,6 ft 1 in,242,4.6,35.5,24,125,7.15,4.14,,,,0,,
2000JenoJame,2000,Jeno James,OG,Auburn,6 ft 3 in,320,5.62,25.5,24,94,8.51,5.22,CAR,G,G,1,6,182
2000SebaJani,2000,Sebastian Janikowski,K,Florida State,6 ft 1 in,260,,,,,,,OAK,K,K,1,1,17
2000RonnJenk,2000,Ronney Jenkins,RB,Northern Arizona,5 ft 10 in,184,4.5,,18,118,,,,,,0,,
2000BranJenn,2000,Brandon Jennings,S,Texas A&M,6 ft 0 in,198,4.51,38,16,123,6.91,4.14,,,,0,,
2000RyanJoha,2000,Ryan Johanningmeier,OG,Colorado,6 ft 6 in,310,5.25,29,,107,7.9,4.66,,,,0,,
2000MattJohn,2000,Matt Johnson,OG,BYU,6 ft 4 in,345,5.56,28,35,99,8.07,4.99,IND,G,G,1,5,138
2000DougJohn,2000,Doug Johnson,QB,Florida,6 ft 2 in,226,4.95,29.5,,96,,,,,,0,,
2000DwigJohn,2000,Dwight Johnson,DT,Baylor,6 ft 4 in,285,4.97,28,26,105,7.51,4.76,,,,0,,
2000EricJohn,2000,Eric Johnson,S,Yale,6 ft 0 in,215,4.6,38,12,121,6.96,4.17,,,,0,,
2000JerrJohn,2000,Jerry Johnson,DT,Florida State,6 ft 0 in,293,5.03,28.5,26,102,,,DEN,DT,DT,1,4,101
2000DwauJone,2000,Dwaune Jones,WR,Richmond,6 ft 0 in,191,4.66,,,,,,,,,0,,
2000DhanJone,2000,Dhani Jones,OLB,Michigan,6 ft 1 in,240,4.68,,29,,,,NYG,LB,LB,1,6,177
2000FredJone,2000,Fred Jones,OLB,Colorado,6 ft 2 in,247,4.95,32,17,113,7.27,4.39,,,,0,,
2000JohnJone,2000,John Jones,TE,Pittsburgh,6 ft 4 in,248,4.63,38.5,13,125,7.33,4.43,,,,0,,
2000ThomJone,2000,Thomas Jones,RB,Virginia,5 ft 10 in,216,4.45,,,,,,ARI,RB,RB,1,1,7
2000LeanJord,2000,Leander Jordan,OG,Indiana (PA),6 ft 4 in,330,5.46,31,25,104,7.91,4.76,CAR,T,T,1,3,82
2000MorgKane,2000,Morgan Kane,RB,Wake Forest,6 ft 1 in,221,4.62,37.5,29,121,6.81,4.16,,,,0,,
2000CurtKeat,2000,Curtis Keaton,RB,West Virginia,5 ft 10 in,214,4.41,41.5,23,131,6.82,3.93,CIN,RB,RB,1,4,97
2000TinkKeck,2000,Tinker Keck,S,Cincinnati,6 ft 1 in,200,4.55,36.5,15,120,6.96,4.31,,,,0,,
2000MattKell,2000,Matt Keller,FB,Ohio State,5 ft 11 in,235,4.74,,,,,,,,,0,,
2000Ben Kell,2000,Ben Kelly,CB,Colorado,5 ft 9 in,183,4.53,36,17,116,6.63,3.95,MIA,DB,DB,1,3,84
2000Dan Kend,2000,Dan Kendra,FB,Florida State,6 ft 0 in,251,4.84,35,24,119,,,,,,0,,
2000KenoKenn,2000,Kenoy Kennedy,S,Arkansas,6 ft 1 in,221,4.71,33.5,8,113,7.08,4.38,DEN,DB,DB,1,2,45
2000SeanKey,2000,Sean Key,S,Florida State,5 ft 11 in,188,4.65,,,,7.12,4.2,,,,0,,
2000JimmKibb,2000,Jimmy Kibble,P,Virginia Tech,5 ft 10 in,195,,,,,,,,,,0,,
2000ErroKinn,2000,Erron Kinney,TE,Florida,6 ft 6 in,272,4.9,,,,,,TEN,TE,TE,1,3,68
2000AdriKlem,2000,Adrian Klemm,OT,Hawaii,6 ft 4 in,307,4.98,,24,,,,NWE,G,G,1,2,46
2000AndrKlin,2000,Andrew Kline,OG,San Diego State,6 ft 2 in,305,5.43,28,26,103,7.54,4.6,STL,G,G,1,7,220
2000MarcKnig,2000,Marcus Knight,WR,Michigan,6 ft 1 in,180,4.72,28.5,,106,7.11,4.38,,,,0,,
2000NoelLaMo,2000,Noel LaMontagne,OG,Virginia,6 ft 4 in,299,5.09,,21,,,,,,,0,,
2000KareLarr,2000,Kareem Larrimore,CB,West Texas A&M,5 ft 11 in,190,4.42,34,,125,,,DAL,DB,DB,1,4,109
2000LeifLars,2000,Leif Larsen,DT,Texas-El Paso,6 ft 4 in,300,5.08,30,45,110,7.46,4.37,BUF,DT,DT,1,6,194
2000ShanLech,2000,Shane Lechler,P,Texas A&M,6 ft 2 in,234,,,,,,,OAK,P,P,1,5,142
2000CharLee,2000,Charles Lee,WR,Central Florida,6 ft 1 in,202,4.56,35.5,,125,7.3,4.25,GNB,WR,WR,1,7,242
2000Tim Lest,2000,Tim Lester,QB,West. Michigan,6 ft 0 in,202,5.02,27,,97,7.28,4.24,,,,0,,
2000JamaLewi,2000,Jamal Lewis,RB,Tennessee,6 ft 0 in,240,4.58,,23,,,,BAL,RB,RB,1,1,5
2000AnthLuca,2000,Anthony Lucas,WR,Arkansas,6 ft 3 in,194,4.53,35,,121,,,GNB,WR,WR,1,4,114
2000Al LLuca,2000,Al Lucas,DT,Troy,6 ft 1 in,294,5,36,28,108,7.44,4.56,,,,0,,
2000AltoLusk,2000,Alton Lusk,WR,Central Oklahoma,6 ft 2 in,182,4.61,36.5,,122,7.16,4.26,,,,0,,
2000DustLyma,2000,Dustin Lyman,ILB,Wake Forest,6 ft 4 in,259,4.7,35,22,118,6.86,4.06,CHI,TE,TE,1,3,87
